ensemble_size, batch_size, trial_num, predict (ms)
900,8,29,0.351502
900,8,30,0.332382
900,8,31,0.323332
900,8,32,0.324501
900,8,33,0.317941
900,8,34,0.325561
900,8,35,0.334431
900,8,36,0.319762
900,8,37,0.319221
900,8,38,0.316401
900,8,39,0.311161
900,8,40,0.310811
900,8,41,0.334792
900,8,42,0.325001
900,8,43,0.319901
900,8,44,0.327522
900,8,45,0.321521
900,8,46,0.314701
900,8,47,0.319111
900,8,48,0.322181
900,8,49,0.340902
900,16,0,0.405754
900,16,1,0.387143
900,16,2,0.376293
900,16,3,0.392483
900,16,4,0.389834
900,16,5,0.386174
900,16,6,0.382233
900,16,7,0.371053
900,16,8,0.381684
900,16,9,0.368523
900,16,10,0.367693
900,16,11,0.374153
900,16,12,0.365783
900,16,13,0.374543
900,16,14,0.366663
900,16,15,0.367373
900,16,16,0.372783
900,16,17,0.480367
900,16,18,0.388624
900,16,19,0.376953
900,16,20,0.396934
900,16,21,0.419064
900,16,22,0.407374
900,16,23,0.403074
900,16,24,0.391554
900,16,25,0.387384
900,16,26,0.392383
900,16,27,0.376083
900,16,28,0.378123
900,16,29,0.378553
900,16,30,0.371503
900,16,31,0.378234
900,16,32,0.372703
900,16,33,0.365953
900,16,34,0.420595
900,16,35,0.386994
900,16,36,0.395354
900,16,37,0.378513
900,16,38,0.375023
900,16,39,0.388313
900,16,40,0.478387
900,16,41,0.379603
900,16,42,0.370833
900,16,43,0.366053
900,16,44,0.389303
900,16,45,0.387624
900,16,46,0.383093
900,16,47,0.378944
900,16,48,0.370763
900,16,49,0.374053
900,32,0,0.497467
900,32,1,0.519678
900,32,2,0.501308
900,32,3,0.497358
900,32,4,0.488767
900,32,5,0.493078
900,32,6,0.487247
900,32,7,0.492147
900,32,8,0.488727
900,32,9,0.495398
900,32,10,0.486617
900,32,11,0.497877
900,32,12,0.490497
900,32,13,0.491837
900,32,14,0.520778
900,32,15,0.504228
900,32,16,0.497777
900,32,17,0.498997
900,32,18,0.492868
900,32,19,0.494688
900,32,20,0.497397
900,32,21,0.513339
900,32,22,0.496458
900,32,23,0.498357
900,32,24,0.492638
900,32,25,0.491587
900,32,26,0.485917
900,32,27,0.488408
900,32,28,0.487968
900,32,29,0.498727
900,32,30,0.487107
900,32,31,0.489178
900,32,32,0.484397
900,32,33,0.489737
900,32,34,0.484457
900,32,35,0.496097
900,32,36,0.489388
900,32,37,0.490167
900,32,38,0.491597
900,32,39,0.489157
900,32,40,0.487428
900,32,41,0.495697
900,32,42,0.488247
900,32,43,0.487697
900,32,44,0.484886
900,32,45,0.495758
900,32,46,0.492887
900,32,47,0.488867
900,32,48,0.485197
900,32,49,0.496407
900,64,0,0.736466
900,64,1,0.724315
900,64,2,0.738356
900,64,3,0.735956
900,64,4,0.720535
900,64,5,0.721605
900,64,6,0.731205
